Date,ES,VaR
2015-05-07,1389.07363416,1373.17230066
2015-05-06,1400.84635673,1383.743591
2015-05-05,1344.4716643,1310.86618408
2015-05-04,1381.04427326,1368.67151512
2015-05-01,1350.12379305,1331.80264464
2015-04-30,1434.43820685,1455.8587398
2015-04-29,1381.91127162,1386.63679491
2015-04-28,1400.11162442,1353.01465427
2015-04-27,1346.10934337,1328.48909019
2015-04-24,1354.08883164,1314.10105269
2015-04-23,1451.3708878,1464.31068497
2015-04-22,1398.722122,1424.36331901
2015-04-21,1402.10960839,1426.03145739
2015-04-20,1373.43117742,1359.4073484
2015-04-17,1375.79140643,1366.78195736
2015-04-16,1375.09520772,1343.9834673
2015-04-15,1340.6242295,1326.21677968
2015-04-14,1341.03465765,1355.82024198
2015-04-13,1422.96798611,1413.64303773
2015-04-10,1399.06726036,1392.53339546
2015-04-09,1442.35330597,1426.52355698
2015-04-08,1456.31454994,1448.43945387
2015-04-07,1357.95501055,1389.59790779
2015-04-06,1409.259822,1398.17440082
2015-04-02,1511.20972566,1524.88388921
2015-04-01,1466.09606563,1461.81918159
2015-03-31,1404.61758229,1404.59695023
2015-03-30,1450.89953441,1427.23461188
2015-03-27,1473.64883178,1485.76740414
2015-03-26,1457.48742743,1491.81274954
2015-03-25,1457.66232321,1450.5250688
2015-03-24,1496.63917656,1531.03812139
2015-03-23,1452.01152864,1470.7118093
2015-03-20,1363.23741653,1356.70938168
2015-03-19,1418.44137389,1392.80800905
2015-03-18,1380.61245754,1350.24296395
2015-03-17,1426.47132449,1440.24162224
2015-03-16,1429.17048803,1422.29655545
2015-03-13,1449.14642608,1415.71603021
2015-03-12,1418.611062,1406.23541769
2015-03-11,1431.12267858,1450.26053539
2015-03-10,1393.98617663,1382.55637472
2015-03-09,1401.91629195,1426.24465499
2015-03-06,1395.88918088,1406.04618715
2015-03-05,1437.1313308,1417.66967662
2015-03-04,1463.49426422,1437.46033469
2015-03-03,1374.94649131,1351.3070386
2015-03-02,1453.58932383,1468.22692555
2015-02-27,1419.00455379,1407.00352712
2015-02-26,1514.8332296,1513.11432153
2015-02-25,1449.9041266,1433.81308585
2015-02-24,1394.70644065,1388.51202098
2015-02-23,1438.36976409,1452.40902427
2015-02-20,1412.67158163,1384.39941541
2015-02-19,1398.35517922,1393.07339898
2015-02-18,1441.12303614,1449.99950144
2015-02-17,1426.40349299,1408.7603625
2015-02-13,1440.14203784,1448.02566632
2015-02-12,1414.17889865,1416.59550771
2015-02-11,1453.34099264,1452.29402465
2015-02-10,1371.95928419,1373.21802567
2015-02-09,1363.04108934,1388.44025429
2015-02-06,1439.5467499,1439.68346565
2015-02-05,1405.42303614,1413.7651001
2015-02-04,1442.53031778,1449.01024193
2015-02-03,1367.965208,1374.74616907
2015-02-02,1412.81589243,1432.32343939
2015-01-30,1436.53049911,1395.88291065
2015-01-29,1397.36949334,1395.2093487
2015-01-28,1443.08216268,1455.62380251
2015-01-27,1415.66925621,1365.23966859
2015-01-26,1474.54598446,1474.73255373
2015-01-23,1476.31140875,1451.94206058
2015-01-22,1509.284337,1500.73133504
2015-01-21,1515.38481554,1500.595749
2015-01-20,1450.54646371,1420.92353298
2015-01-16,1451.39462015,1429.92090483
2015-01-15,1482.55520109,1470.51312107
2015-01-14,1491.86394801,1487.30626974
2015-01-13,1459.13455925,1474.18413328
2015-01-12,1446.36919418,1460.71462659
2015-01-09,1449.12310278,1441.14358243
2015-01-08,1413.96347888,1444.06815941
2015-01-07,1422.69343112,1407.74741856
2015-01-06,1457.37399842,1458.22655767
2015-01-05,1395.8011981,1394.31084188
2015-01-02,1472.58750436,1501.48854895
2014-12-31,1471.90386762,1455.80272533
2014-12-30,1457.53175251,1474.67559246
2014-12-29,1435.62438644,1425.458141
2014-12-26,1463.30220469,1474.99561511
2014-12-24,1490.56986127,1479.78020507
2014-12-23,1453.8854274,1461.72765374
2014-12-22,1470.25120354,1446.54386939
2014-12-19,1442.77226255,1435.16531349
2014-12-18,1429.60113168,1428.65021847
2014-12-17,1460.10021797,1457.87050242
2014-12-16,1472.65003937,1474.0561174
2014-12-15,1411.70472332,1411.00916851
2014-12-12,1515.11321537,1543.81683899
2014-12-11,1398.16276303,1358.31772592
2014-12-10,1460.30084961,1454.8633764
2014-12-09,1408.13712728,1403.61047001
2014-12-08,1457.9329623,1417.07388301
2014-12-05,1411.10336744,1417.68774405
2014-12-04,1463.4362726,1444.23781253
2014-12-03,1403.5030781,1361.21148006
