Date,ES,VaR
2014-08-14,1509.13088968,1504.76739884
2014-08-13,1507.96591143,1503.60194364
2014-08-12,1505.88713211,1501.52043189
2014-08-11,1506.32008781,1501.94903199
2014-08-08,1510.29388853,1505.92438459
2014-08-07,1505.92753458,1501.55673908
2014-08-06,1501.25478183,1496.88513672
2014-08-05,1517.72036796,1513.3471936
2014-08-04,1516.2374037,1511.86387204
2014-08-01,1515.41780546,1511.04203756
2014-07-31,1511.65248897,1507.27688533
2014-07-30,1510.92671293,1506.5506133
2014-07-29,1514.91319083,1510.53582707
2014-07-28,1514.87213592,1510.4960682
2014-07-25,1513.15741105,1508.77398095
2014-07-24,1513.53595271,1509.15278413
2014-07-23,1509.99788501,1505.61480269
2014-07-22,1509.1791273,1504.7936536
2014-07-21,1503.99178817,1499.60334573
2014-07-18,1507.19255783,1502.80574112
2014-07-17,1507.49604832,1503.10950305
2014-07-16,1511.37210201,1506.98851815
2014-07-15,1514.5034815,1510.1196941
2014-07-14,1513.87031831,1509.48381682
2014-07-11,1511.21629591,1506.82553969
2014-07-10,1511.03726119,1506.64644251
2014-07-09,1516.42927931,1512.04045358
2014-07-08,1516.72373497,1512.33575661
2014-07-07,1516.45169223,1512.06368016
2014-07-03,1516.44906597,1512.06105044
2014-07-02,1517.24292361,1512.85565961
2014-07-01,1518.73036989,1514.34566534
2014-06-30,1519.83200518,1515.44885711
2014-06-27,1517.74860401,1513.36452102
2014-06-26,1518.12066032,1513.73731928
2014-06-25,1517.46260325,1513.07529148
2014-06-24,1515.54880608,1511.15990325
2014-06-23,1512.51820396,1508.12878148
2014-06-20,1514.55704973,1510.17221433
2014-06-19,1514.86501313,1510.47200249
2014-06-18,1515.20937217,1510.81659074
2014-06-17,1514.58212099,1510.18902699
2014-06-16,1515.36882785,1510.97816353
2014-06-13,1518.03581491,1513.64760399
2014-06-12,1517.1022052,1512.71403101
2014-06-11,1516.0721116,1511.6812214
2014-06-10,1514.09153484,1509.70054066
2014-06-09,1516.08184975,1511.69302987
2014-06-06,1515.9461564,1511.5572856
2014-06-05,1515.94138087,1511.55250974
2014-06-04,1518.14024993,1513.75209951
2014-06-03,1519.15960109,1514.77176994
2014-06-02,1517.15900939,1512.76986774
2014-05-30,1514.0245118,1509.63523794
2014-05-29,1497.64168143,1493.254689
2014-05-28,1493.89552998,1489.5076385
2014-05-27,1468.655351,1464.28149063
2014-05-23,1469.48223503,1465.10882783
2014-05-22,1466.76759303,1462.39306756
2014-05-21,1466.91915434,1462.54506332
2014-05-20,1456.78051664,1452.40963677
2014-05-19,1458.0698912,1453.69957449
2014-05-16,1455.19366805,1450.82321919
2014-05-15,1454.18150157,1449.81055462
2014-05-14,1448.78571406,1444.41445321
2014-05-13,1450.40119626,1446.02522168
2014-05-12,1446.83381797,1442.45325097
2014-05-09,1448.57836707,1444.20068793
2014-05-08,1442.96417936,1438.58778714
2014-05-07,1444.57331097,1440.19734723
2014-05-06,1446.13572315,1441.75924143
2014-05-05,1446.57434181,1442.19837897
2014-05-02,1440.16170874,1435.78562921
2014-05-01,1442.97488566,1438.59987847
2014-04-30,1439.9566085,1435.58075433
2014-04-29,1436.32461765,1431.94939848
2014-04-28,1435.56638277,1431.19053685
2014-04-25,1434.83474686,1430.45602177
2014-04-24,1436.09565796,1431.72008973
2014-04-23,1437.9373805,1433.56136492
2014-04-22,1438.17736179,1433.80144605
2014-04-21,1431.25252927,1426.87675216
2014-04-17,1300.95140284,1296.6926543
2014-04-16,1286.05231244,1281.80181765
2014-04-15,1288.83018984,1284.58647146
